RA,Station ID,WMO ID or NWS/CMAN ID,Station Long Name,Station Description,Latitude (dec deg),Longitude (dec deg),Platform Type,"Station Deployment (mm/yyyy, yyyy, < 5 yr, > 5 yr)","Currently Operational? (Y, N, O, U)",Platform Funder/Sponsor,"RA Funding Involvement (Yf, Yp, N)",Platform Operator/Owner,Operator Sector,Platform Maintainer,Data Manager,"Variable Names + water column depth of measurement in meters [CF_name (# m, # m) or CF_name (mult) or CF_name (# depths)].",Additional notes,file,Unnamed: 18
PacIOOS,AWS-CRRF,,"Ngeanges Island, Koror, Palau Weather Station",,7.20915,134.371,fixed,2007-02-28 00:00:00,Y,,N,Coral Reef Research Foundation,Nonprofit,Coral Reef Research Foundation,PacIOOS,"air_temperature, time, relative_humidity, rainfall_amount, downwelling_shortwave_flux_in_air, surface_downwelling_photosynthetic_photon_flux_in_air, wind_speed, wind_from_direction, altitude",No WMO ID because asset is land-based.,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,AWS-HIMB,,Coconut Island Weather Station,,21.433,-157.7863,fixed,2005-01-01 00:00:00,Y,,N,Hawaii Institute of Marine Biology,Academic,Hawaii Institute of Marine Biology,PacIOOS,"air_temperature, rainfall_amount, wind_speed, wind_from_direction, downwelling_shortwave_flux_in_air, sea_water_temperature, surface_downwelling_photosynthetic_photon_flux_in_air, altitude",No WMO ID because asset is land-based.,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,WS- Pier 1,,Pier 1 Honolulu Weather Station,Davis Weather Station,21.2962,-157.8687,fixed,2019-08-14 00:00:00,Y,Hawaii Pilot's Assoc.,N,PacIOOS,Private/Academic,PacIOOS,PacIOOS,"air_temperature, rainfall_amount, wind_speed, wind_from_direction, relative_humidity, air_pressure",No WMO ID because asset is land-based.,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,CDIP 098,51202,"Mokapu Point, Oahu, Hawaii",Datawell Waverider,21.415,-157.6783,wave_buoy,2000-08-09 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,CDIP 106,51201,"Waimea Bay, Oahu, Hawaii",Datawell Waverider,21.6705,-158.1172,wave_buoy,2001-12-15 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,CDIP 121,52200,"Ipan, Guam",Datawell Waverider,13.3542,144.7883,wave_buoy,2003-07-15 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,CDIP 163,52201,"Kalo, Majuro, Marshall Islands",Datawell Waverider,7.0835,171.3918,wave_buoy,2016-05-04 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,CDIP 187,51205,"Pauwela, Maui, Hawaii",Datawell Waverider,21.0182,-156.4252,wave_buoy,2011-12-03 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,CDIP 188,51206,"Hilo, Hawaii",Datawell Waverider,19.78,-154.97,wave_buoy,2012-03-04 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx,
PacIOOS,CDIP 189,51209,"Aunuu, American Samoa",Datawell Waverider,-14.2645, -170.4934 ,wave_buoy,2014-10-23 00:00:00,Y,PacIOOS,Yf,PacIOOS,Academic,PacIOOS,CDIP,"sea_surface_wave_significant_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_water_temperature ",,Asset Inventory_PacIOOS_Dec2019.xlsx,
