RA,Station ID,WMO ID or NWS/CMAN ID,Station Long Name,Station Description,Latitude (dec deg),Longitude (dec deg),Platform Type,"Station Deployment (mm/yyyy, yyyy, < 5 yr, > 5 yr)","Currently Operational? (Y, N, O, U)",Platform Funder/Sponsor,"RA Funding Involvement (Yf, Yp, N)",Platform Operator/Owner,Operator Sector,Platform Maintainer,Data Manager,"Variable Names + water column depth of measurement in meters [CF_name (# m, # m) or CF_name (mult) or CF_name (# depths)].",Additional notes,,,,,,,,
GCOOS,ioos:station:wmo:42361,42361,42361 - Auger - Garden Banks 426,url: http://www.ndbc.noaa.gov/station_page.php?station=42361,27.55,-92.49,fixed,,Y,Unknown,N, Shell International E&P,industry, Shell International E&P,GCOOS (info@gcoos.org),"air_pressure,air_temperature,currents,dew_temeperature,winds",,,,,,,,,
GCOOS,ioos:station:wmo:42363,42363,42363 - Mars - Mississippi Canyon 807,url: http://www.ndbc.noaa.gov/station_page.php?station=42363,28.16,-89.22,fixed,Unknown,Y,Unknown,N, Shell International E&P,industry, Shell International E&P,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42364,42364,42364 - Ram-Powell - Viosca Knoll 936,url: http://www.ndbc.noaa.gov/station_page.php?station=42364,29.06,-88.09,fixed,Unknown,Y,Unknown,N, Shell International E&P,industry, Shell International E&P,GCOOS (info@gcoos.org),"air_pressure,air_temperature,currents,dew_temeperature,winds",,,,,,,,,
GCOOS,ioos:station:wmo:42369,42369,42369 - Mad Dog Spar - Green Canyon 782,https://www.ndbc.noaa.gov/station_page.php?station=42369,27.207,-90.283,fixed,Unknown,Y,Unknown,N, BP Inc,industry, BP Inc,GCOOS (info@gcoos.org),"currents, sea_water_temperature, winds, waves, air_temperature",,,,,,,,,
GCOOS,ioos:station:wmo:42370,42370,42370 - Holstein - Green Canyon 645,url: http://ndbc.noaa.gov/station_page.php?station=42370,27.322,-90.536,fixed,Unknown,Y,Unknown,N,BP Inc,industry,BP Inc,GCOOS (info@gcoos.org),"air_temperature,air_pressure,dew_temeperature,sea_water_temperature,currents,winds",,,,,,,,,
GCOOS,ioos:station:wmo:42372,42372,42372 - Genesis SPAR - Green Canyon 205A,https://www.ndbc.noaa.gov/station_page.php?station=42372,27.78,-90.518,fixed,Unknown,Y,Unknown,N, Chevron,industry, Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42373,42373,42373 - Boomvang - East Breaks 643,https://www.ndbc.noaa.gov/station_page.php?station=42373,27.354,-94.625,fixed,Unknown,Y,Unknown,N, Kerr-McGee Oil and Gas Corporation,industry, Kerr-McGee Oil and Gas Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42374,42374,Horn Mountain - Mississippi Canyon 126 and 127,http://www.ndbc.noaa.gov/station_page.php?station=42374,28.866,-88.056,fixed,Unknown,Y,Unknown,N, BP Inc,industry, BP Inc,GCOOS (info@gcoos.org),"sea_water_temperature,currents,waves,winds",,,,,,,,,
GCOOS,ioos:station:wmo:42377,42377,42377 - Constitution - Green Canyon 680,url: http://ndbc.noaa.gov/station_page.php?station=42377,27.293,-90.968,fixed,Unknown,Y,Unknown,N, Kerr-McGee Oil and Gas Corporation,industry, Kerr-McGee Oil and Gas Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42379,42379,Marco Polo - Green Canyon 608,http://www.ndbc.noaa.gov/station_page.php?station=42379,27.362,-90.181,fixed,Unknown,N,Unknown,N, Anadarko Petroleum Corporation,industry, Anadarko Petroleum Corporation,GCOOS (info@gcoos.org),currents,,,,,,,,,
GCOOS,ioos:station:wmo:42382,42382,42382 - Gunnison - Garden Banks 668,url: http://ndbc.noaa.gov/station_page.php?station=42382,27.304,-93.538,fixed,Unknown,N,Unknown,N,Kerr-McGee Oil and Gas Corporation,industry,Kerr-McGee Oil and Gas Corporation,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42383,42383,42383 - Neptune - Green Canyon 613,url: http://ndbc.noaa.gov/station_page.php?station=42383,27.37,-89.924,fixed,Unknown,N,Unknown,N, BHP Billiton,industry, BHP Billiton,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
GCOOS,ioos:station:wmo:42386,42386,42386 - Tahiti - Green Canyon 641,url: http://ndbc.noaa.gov/station_page.php?station=42386,27.326,-90.714,fixed,Unknown,Y,Unknown,N,Chevron,industry,Chevron,GCOOS (info@gcoos.org),"sea_water_temperature,currents",,,,,,,,,
