RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,CARICOOS Contact (Name and Email),RA/Federal Affiliation,Dataset ID,Unnamed: 15,Unnamed: 18
AOOS,CSESM,,Chukchi Sea Ecosystem Mooring (CSESM) Array,"Hannah Shoal subsurface ecosystem mooring; Seabird 37sm, SBE SEAPHox, Contros HYDRO-C, Satlantic SUNA, Hydrobios, Aural Sequoia LISST, Teledyne ADCP, Aanderaa RCM9, ",71.6,-161.5,moored_buoy,2015-09-01 00:00:00,Y,"AOOS, NPRB, UAF, others",Yp,UAF_CFOS,Academic,UAF,AOOS,"sea_water_temperature (35m, 48m, near-bottom), sea_water_electrical_conductivity (35m, 48m, near-bottom), sea_water_practical_salinity (35m, 48m, near-bottom), current_velocity (3-30 m, 1m bins; near-bottom), sea_surface_wave_significant_height, sea_surface_wave_to_direction, sea_surface_wave_mean_period, nitrate (35m), dissolved_oxygen (35 m), sea_water_pH_reported_on_total_scale (35 m), partial_pressure_of_carbon_dioxide_in_sea_water (35 m), sediment_trap_parameters (38m), fish_and_plankton_acoustic_profile (0.5-30m in 4 cm bins), partical_size_spectra (35 m), sea_water_pressure (35 m, near bottom)","Rotated Annually.  ~1 year lag on data ingestion. NOT SURE OF CF NAMES for all these variables as it depends on the units;  Not sure what sediment trap parameters are being reported;  not sure CF name for fish and plankton acoustics; not sure CF name for partical size.  These data are being processed in the workspace…as soon as I know the variables reported out, I will update. 2018 (KB: Don't worry about CF names, I'll figure it out). We are still working on how to best host these data which are being stored on the NPRB Workspace...data are likely to made into a catalogue item where it is downloadable, but not visualized. This poses complications for Axiom, but I am working on it. We have been getting the data.",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.gulfwatchalaska:GAK1,,Oceanographic Station GAK1,"Longterm non-realtime physcial parameters mooring since 1998; Resurrection Bay, Seward",59.845,-149.466667,moored_buoy,1905-06-20 00:00:00,Y,"UAF, Exxon Valdez Oil Spill Trustees Council, and multiple entities over the years (NSF NE Pacific GLOBEC, NPRB)",N,UAF_CFOS,Academic,UAF CFOS,"UAF, AOOS ","NOT REAL TIME: sea_water_temperature (30 m, 60 m, 100 m, 150 m, 200 m, 250 m), sea_water_electrical_conductivity (30 m, 60 m, 100 m, 150 m, 200 m, 250 m), sea_water_salinity (30 m, 60 m, 100 m, 150 m, 200 m, 250 m)",Subsurface mooring collecting CTD paramaters; http://www.ims.uaf.edu/gak1/; http://www.gulfwatchalaska.org/monitoring/environmental-drivers/gulf-of-alaska-mooring-gak1-monitoring/,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:AKUTAN_WX,,"Akutan, Port",WEATHER (no AIS); AIS LOCATED AT DIFFERENT SPOT,54.1321,-165.7818,Fixed,06/14/17; 7/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:ANCHORAGE_PORT,,Anchorage Port,AIS TRANSCEIVER WITH WEATHER,61.238746,-149.888778,Fixed,2015-05-05 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,org_mxak_bethel,,Bethel,Weather (not sure if there is AIS there),60.7915,-161.7487,Fixed,2019-12-28 00:00:00,Y,AOOS,Yp,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",New in 2019 but AOOS not reporting until 2020,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:CAPE_DECISION, CDXA2,Cape Decision,AIS STATION WITH WEATHER,56.001483,-134.136,Fixed,2015-05-05 00:00:00,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",went offline August 2020. Back online in 2021.,AOOS.xlsx,,,,,
AOOS,cape-spencer-1,New 2021,Cape Spencer,AIS STATION WITH WEATHER,58.1988,-136.6401,Fixed,2021-06-22 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","Installed in June 2021, but data did not start on AOOS Portal until December 8, 2021",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:CAPTAINS_BAY,,Captains Bay - Dutch Harbor,WEATHER (No AIS),53.842909,-166.583242,Fixed,2018-12-12 00:00:00,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:DEAD_HORSE,,"Deadhorse, Prudhoe Bay",AIS TRANSCEIVER WITH WEATHER,70.22235,-148.419267,Fixed,10/01/15; 9/30/2015,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction","AOOS webstie record starts September 15, 2015. It was installed Spring of 2015",AOOS.xlsx,,,,,
AOOS,urn:ioos:station:org.mxak:DUTCH_HARBOR_APL,,Dutch Harbor APL,WEATHER (NO AIS),53.883648,-166.531315,Fixed,05/05/15; 4/16/2015,Y,MXAK,N,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",,AOOS.xlsx,,,,,
