RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,Dataset (ERDDAP) ID
AOOS,CSESM,NOT REAL TIME ,Chukchi Sea Ecosystem Mooring (CSESM) Array,"Hannah Shoal subsurface ecosystem mooring with a bunch of sensros and benthic webcam; Seabird 37sm, SBE SEAPHox, Contros HYDRO-C, Satlantic SUNA, Hydrobios, Aural Sequoia LISST, Teledyne ADCP, Aanderaa RCM9, ",71.5997,-161.5054,moored_buoy,2014-09-20 00:00:00,Y - but never real time,"AOOS, NPRB, UAF, others",Yp,UAF_CFOS,Academic,UAF,North Pacific Research Board,"sea_water_temperature (35m, 48m, near-bottom), sea_water_electrical_conductivity ( ~35m, ~48m, near-bottom), sea_water_practical_salinity (35m, 48m, near-bottom), current_velocity (3-30 m, 1m bins; near-bottom), sea_surface_wave_significant_height, sea_surface_wave_to_direction, sea_surface_wave_mean_period, nitrate (35m), dissolved_oxygen (35 m), sea_water_pH_reported_on_total_scale (35 m), partial_pressure_of_carbon_dioxide_in_sea_water (35 m), sediment_trap_parameters (38m), fish_and_plankton_acoustic_profile (0.5-30m in 4 cm bins), partical_size_spectra (35 m), sea_water_pressure (35, ~48 m, near bottom), downwelling_photosynthetic_photon_flux_in_sea_water","two to three moorings at the CEO which are rotated annually.  ~1 year lag on data ingestion. NOTE: Depths of sensors may vary from year to year, and started out shallower around 27m in the first year on the CEO1...the depths have increased a bit to avoid ice and as they rotate the mooring and the exact water depths for each year are reported in the ERDDAP. NOT SURE OF CF NAMES for all these variables as it depends on the units;  Not sure what sediment trap parameters are being reported;  not sure CF name for fish and plankton acoustics; not sure CF name for partical size.  These data are being processed in the workspace…but not all reporting to the AOOS Portal. (KB: Don't worry about CF names, I'll figure it out). We are still working on how to best host all variations these data which are being stored on the NPRB Workspace...data curerntly not showing on the AOOS Portal are likely to made into a catalogue item where it is downloadable, but not visualized. This poses complications for Axiom, but I am working on it. NPRB is the Data Managing entity.",AOOS.xlsx,
AOOS,CEO1,Not real time,CEO1 (part of the CSEM),,71.5997,-161.5054,moored_buoy,2014-09-21 00:00:00,Y - but never real time,same as above,Yp,UAF-CFOS,Academic,UAF,North Pacific Research Board,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity,  sea_water_pressure,  near bottom), downwelling_photosynthetic_photon_flux_in_sea_water","Data visualizaed on the AOOS Portal includes 2 CTDS  on the CEO1 mooring, deployed between 27 and 42 m and PAR. Other parameters maybe available from year to year. You can visualized the data by depth (scroll the depths using DEVICES icon): AOOS Portal link: https://portal.aoos.org/#metadata/123828/station/data ",AOOS.xlsx,
AOOS,CEO2,Not real time,CEO2 (part of the CSEM),,71.5998,-161.5261,moored_buoy,2015-08-20 00:00:00,Y- but never real time,sames as above,Yp,UAF-CFOS,Academic,UAF,North Pacific Research Board,"sea_water_temperature, sea_water_electrical_conductivity, sea_water_practical_salinity,  sea_water_turbidity, fluorescence,  fractional_saturation_of_oxygen_in_sea_water,  sea_water_pressure, downwelling_photosynthetic_photon_flux_in_sea_water","This is the list of all sensors reporting to the AOOS Portal are at ~33m on this data feed, though there maybe other sensors on this mooring as well not reported on the portal. AOOS Portal link: https://portal.aoos.org/#metadata/123829/station/data",AOOS.xlsx,
AOOS,urn:gulf-of-alaska-ecosystem-obse,not reporting real time anymore,Gulf of Alaska Ecosystem Observatory-GEO1,"Surface real time mooring: CDOM, 150kHz ADCP, SBE 37 TSP, ITP (Profiling CTD_ conductivity, temperature, pressure, salinity, depth, Chlorophyll, CDOM, OBS, DO, NO3), GPS, wind speed, wind direction, air temp, relative humidity, dew point, barometric pressure,  downwelling photosynthetic photon flux in sea water",59.0142,-148.6902,Fixed moored_buoy,2019-07-11 00:00:00,"Y - but not real time at moment, so data not updated as of 12/2019","M.J. Murdock Charitable Trust, AOOS, NPRB, Gulf Watch (Exxom Valdez Oil Spill Trustees Council) , UAF, NSF-LTER, others",Yp,UAF_CFOS,Academic,UAF,NSF,"Real time mooring: 150kHz ADCP (205m), SBE 37 TSP (205m), ITP (Profiling CTD:  sea_water_electrical_conductivity, sea_water_temperature, sea_water_pressure, sea_water_practical_salinity, depth, mass_concentration_of_chlorophyll_in_sea_water, CDOM, OBS, DO, NO3); GPS, wind_speed, wind_from_direction, air_temperature, relative_humidity, dew_point_temperature, air_pressure,  downwelling_photosynthetic_photon_flux_in_sea_water (1m),  mass_concentration_of_chlorophyll_in_sea_water (1m)",The buoy was not serving real time data feeds from the profiling CTD the ADCP current meter. The Surface MET sensors and the 1 m fluorometer and PAR were reporting data realtime in 2019. Will work on WMO assignments if and when this mooring becomes fully operational. This buoy stopped reporting real time data in Dec of 2019. ,AOOS.xlsx,
AOOS,urn:gulf-of-alaska-ecosystem-obse-1,not reporting real time anymore,Gulf of Alaska Ecosystem Observatory-GEO3,"Surface real time mooring: GPS, wind speed, wind direction, air temp, relative humidity, dew point, barometric pressure, Chlorophyll",59.0165,-148.6966,Fixed moored_buoy,2019-07-11 00:00:00,Y - but not real time at moment,"M.J. Murdock Charitable Trust, AOOS, NPRB, Gulf Watch (Exxom Valdez Oil Spill Trustees Council) , UAF, NSF-LTER, others",Yp,UAF_CFOS,Academic,UAF,NSF,"Real time mooring: GPS, wind_speed, wind_from_direction, air_temperature, relative_humidity, dew_point_temperature, air_pressure, mass_concentration_of_chlorophyll_in_sea_water (5m), sea_water_electrical_conductivity (5m), downwelling_photosynthetic_photon_flux_in_sea_water (5m), sea_water_temperature (5m),  sea_water_practical_salinity (5m)","Note: The 5 m SBE 37 CTD (Conductivity, temperature, pressure and salinity) was not reporting for this mooring. It stopped reporting data after a storm on November 11, 2019. It is not clear why. Surface buoy MET and PAR variables stopped reporting meaningful values after a storm Dec 9. Will work on WMO assignments if and when this mooring is fully operational. WMO still not established in 2021. Stopped reporting real time Sep 22, 2021.",AOOS.xlsx,
AOOS,urn:ioos:station:org.gulfwatchalaska:GAK1,Not real time,Oceanographic Station GAK1,"Longterm non-realtime physcial parameters mooring since 1998; Resurrection Bay, Seward",59.845,-149.466667,moored_buoy,1905-06-20 00:00:00,Y - but no real time,"UAF, Exxon Valdez Oil Spill Trustees Council, and multiple entities over the years (NSF NE Pacific GLOBEC, NPRB)",N,UAF_CFOS,Academic,UAF CFOS,"UAF, AOOS ","NOT REAL TIME: sea_water_temperature (30 m, 60 m, 100 m, 150 m, 200 m, 250 m), sea_water_electrical_conductivity (30 m, 60 m, 100 m, 150 m, 200 m, 250 m), sea_water_salinity (30 m, 60 m, 100 m, 150 m, 200 m, 250 m)",Subsurface mooring collecting CTD paramaters; http://www.ims.uaf.edu/gak1/; http://www.gulfwatchalaska.org/monitoring/environmental-drivers/gulf-of-alaska-mooring-gak1-monitoring/,AOOS.xlsx,
AOOS,urn:ioos:station:gov.noaa.pmel:GAK_Seward,No longer reporting real time on AOOS Portal,GAKOA-Gulf of Alaska Ocean Acidification Mooring,"Resurrection Bay, Seward, Real-time OA parameters",59.85,-149.5,moored_buoy,2011-05-19 00:00:00,Y,"AOOS, NOAA",Yp,NOAA_PMEL,gov_federal,"NOAA PMEL, UAF_OARC",NOAA,"dissolved_carbon_dixoide_ppm, partial_pressure_of_carbon_dioxide_in_sea_water, sea_water_pH, sea_water_temperature, sea_water_salinity, barometric_pressure","Though AOOS Supported, these data are Not reporting to the AOOS Portal since January 2020. NOAA is providing sole real time access to these data from now on.",AOOS.xlsx,
AOOS,urn:ioos:station:gov.noaa.pmel:m2,No longer reporting real time on AOOS Portal,M2 - Ocean Acidification Mooring and Ecosytem Observatory,"Bering Sea, Real-time OA parameters",56.87,-164.06,moored_buoy,1905-07-03 00:00:00,Y,"NOAA, AOOS ",Yp,NOAA_PMEL,gov_federal,"NOAA, PMEL, UAF_OARC",NOAA,"dissolved_carbon_dixoide_ppm, partial_pressure_of_carbon_dioxide_in_sea_water , sea_water_pH, sea_water_temperature, sea_water_salinity, barometric_pressure","Though AOOS Supported, the data are Not reporting to the AOOS Portal since January 2020. NOAA is providing sole  real time access to these data from now on.  AOOS supports both OA sensors on this mooring and is contirbuting to the build-out of this mooring into a full Ecosystem Observatory (Like CEO and GEO) for the southern Bering Strait.",AOOS.xlsx,
AOOS,M8 - this is a federal station AOOS is partially supporting,Not Real Time,M8 - Ecosystem Observatory,Bering Sea - non-realtime,62.194,-174.688,moored_buoy,intermittantly deployed,Y,"NOAA, AOOS ",Yp,NOAA_PMEL,gov_federal,"NOAA, PMEL, UAF ",NOAA,"Physical parameters, but currently also being built out as an ecosystem observatory.","NOAA is providing sole access to these data .  AOOS is contirbuting to the build-out of this mooring into a full Ecosystem Observatory (Like M2, CEO and GEO) for the southern Bering Strait. Not real time. PMEL ECO-FOCI program.",AOOS.xlsx,
AOOS,urn:ioos:station:org.mxak:AKUTAN_WX,AKXA2,"Akutan, Port",WEATHER (no AIS); AIS LOCATED AT DIFFERENT SPOT,54.1321,-165.7818,Fixed,06/14/17; 7/26/2017,Y,AOOS,Yf,Marine Exchange of Alaska,nonprofit,MXAK (Marine Exchange of Alaska),AOOS,"dew_point_temperaure, air_temperature, air_pressure, relative_humidity, wind_speed_of_gust, wind_gust_from_direction, wind_speed, wind_from_direction",need to cross check station ,AOOS.xlsx,
