RA,Station_ID,WMO_CMAN_ID,Station_Long_Name,Station_Description,Latitude,Longitude,Platform_Type,Station_Deployment,Currently_Operational,Platform_Funder,RA_Funded,Platform_Operator,Operator_Sector,Platform_Maintainer,Data_Manager,Variable_Names,Additional_notes,file,Time Period,"CARICOOS Contact
(Name and Email)",Dataset (ERDDAP) ID
CARICOOS,PR1,42085,Ponce Buoy,,17.8687,-66.532,Moored buoy,,Operational,CARICOOS,Yf,Neil Pettigrew/CARICOOS,Academia,CARICOOS/University of Maine,"Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 16) m, sea_water_to_direction (2.5 -16) m, eastward_sea_water_velocity (2.5 - 16) m, northward_sea_water_velocity (2.5 - 16) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)",,CARICOOS.xlsx,06/2009 - present,Patricia Chardón-Maldonadopatricia.chardon@caricoos.orgJulio Morell (julio.morell@upr.edu),
CARICOOS,PR2,41053,San Juan Buoy,,17.4743,-66.0994,Moored buoy,,Operational,CARICOOS,Yf,Neil Pettigrew/CARICOOS,Academia,CARICOOS/University of Maine,"Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 29) m, sea_water_to_direction (2.5 -29) m, eastward_sea_water_velocity (2.5 - 29) m, northward_sea_water_velocity (2.5 - 29) m, sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m)",,CARICOOS.xlsx,07/2010 - present,Patricia Chardón-Maldonadopatricia.chardon@caricoos.orgJulio Morell (julio.morell@upr.edu),
CARICOOS,PR3,41056,Vieques Buoy,,18.2609,-65.464,Moored buoy,,Operational,CARICOOS,Yf,Neil Pettigrew/CARICOOS,Academia,CARICOOS/University of Maine,"Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 28 m), sea_water_to_direction  (2.5 - 28 m), eastward_sea_water_velocity  (2.5 - 28 m), northward_sea_water_velocity  (2.5 - 28 m), sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m)",,CARICOOS.xlsx,09/2013 - present,Patricia Chardón-Maldonadopatricia.chardon@caricoos.orgJulio Morell (julio.morell@upr.edu),
CARICOOS,VI1,41052,St. John Buoy ,,18.2491,-64.7637,Moored buoy,,Operational,CARICOOS,Yf,Neil Pettigrew/CARICOOS,Academia,CARICOOS/University of Maine,"Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 40 m), sea_water_to_direction  (2.5 - 40 m), eastward_sea_water_velocity (2.5 - 40 m), northward_sea_water_velocity (2.5 - 40 m), sea_surface_temperature, air_temperature (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m)",,CARICOOS.xlsx,04/2011 - present,Patricia Chardón-Maldonadopatricia.chardon@caricoos.orgJulio Morell (julio.morell@upr.edu),
CARICOOS,VI2,41051,North of St. Thomas,,18.4761,-65.1568,Moored buoy,,Offline,CARICOOS,Yf,Neil Pettigrew/CARICOOS,Academia,CARICOOS/University of Maine,"Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 22 m), sea_water_to_direction  (2.5 - 22 m), eastward_sea_water_velocity (2.5 - 22 m), northward_sea_water_velocity (2.5 - 22 m), sea_surface_temperature, air_temperature (-3 m), relative_humidity (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m), dissolved_oxygen (1 m), mass_concentration_of_chlorophyll_in_sea_water (1 m), sea_water_turbidity (1 m)",Damaged by Hurricane Irma. A new oceanographic data buoy will be deployed in 2022.,CARICOOS.xlsx,08/2017-09/2017,Patricia Chardón-Maldonadopatricia.chardon@caricoos.orgJulio Morell (julio.morell@upr.edu),
CARICOOS,VIA,41051,North of St. Thomas,,18.2574,-65.004,Moored buoy,,No,CARICOOS,Yf,Neil Pettigrew/CARICOOS,Academia,University of Virgin Islands,"Department of Physical Oceanography, School of Marine Sciences, University of Maine / CARICOOS","sea_water_speed (2.5 - 22 m), sea_water_to_direction  (2.5 - 22 m), eastward_sea_water_velocity (2.5 - 22 m), northward_sea_water_velocity (2.5 - 22 m), sea_surface_temperature, air_temperature (-3 m), relative_humidity (-3 m), barometric_altitude (-3 m),  wind_speed (-4 m), wind_speed_of_gust (-4 m), wind_from_direction (-4 m), sea_surface_wave_significant_height, sea_surface_wave_maximum_height, sea_surface_wave_from_direction, sea_surface_wave_mean_period,  sea_surface_wave_directional_spread,  sea_water_electrical_conductivity (1 m), sea_surface_temperature (1 m), sea_surface_salinity (1 m), sea_surface_density (1 m),sea_water_electrical_conductivity (1 m), dissolved_oxygen (1 m), mass_concentration_of_chlorophyll_in_sea_water (1 m), sea_water_turbidity (1 m)",Redeployed in another location. Now is identified as VI2.,CARICOOS.xlsx,03/2013-03/2015,Patricia Chardón-Maldonadopatricia.chardon@caricoos.orgJulio Morell (julio.morell@upr.edu),
CARICOOS,181p1,41115,Rincón Waverider Buoy,,18.3764,-67.2799,Moored buoy,,Operational,CARICOOS/CDIP,Yf,"Coastal Data Information Program, SIO/UCSD/CARICOOS",Academia,CARICOOS,Coastal Data Information Program ,"sea_surface_wave_significant_height, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment, sea_surface_wave_from_direction, sea_surface_wave_zero_upcrossing_period, wave_frequency, sea_surface_wave_variance_spectral_density, sea_surface_wave_from_direction, sea_surface_temperature, platform_orientation, sea_floor_depth_below_sea_surface",,CARICOOS.xlsx,05/2011 - present,Patricia Chardón-Maldonadopatricia.chardon@caricoos.orgMiguel Canals(miguelf.canals@upr.edu) ,
CARICOOS,249p1,41121,Arecibo Waverider Buoy,,18.4909,-66.7005,Moored buoy,,Offline,CARICOOS/CDIP/NREL,Yf,"Coastal Data Information Program, SIO/UCSD/CARICOOS",Government-Federal/Academia,CARICOOS,Coastal Data Information Program ,"sea_surface_wave_significant_height, sea_surface_wave_period_at_variance_spectral_density_maximum, sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment, sea_surface_wave_from_direction, sea_surface_wave_zero_upcrossing_period, wave_frequency, sea_surface_wave_variance_spectral_density, sea_surface_wave_from_direction, sea_surface_temperature, platform_orientation, sea_floor_depth_below_sea_surface",,CARICOOS.xlsx,05/2021 - present,Patricia Chardón-Maldonadopatricia.chardon@caricoos.orgMiguel Canals(miguelf.canals@upr.edu) ,
CARICOOS,MAPCO2,NCEI Accession 0117354,La Parguera MapCO2 buoy,NCEI Accession 0117354,17.953666666666667,-66.0512,Moored buoy,,Operational,PMEL/CARICOOS,Yp,PMEL,Academia,CARICOOS,PMEL/CARICOOS,"SST, SSS, Atm. press, xCO2water, xCO2air,fCO2water,fCO2air, pH on total scale",,CARICOOS.xlsx,2009 - present,Julio Morell (julio.morell@upr.edu),
CARICOOS,PUNTAS,PTRP4,"Rincón, PR",,18.3667,-67.2514,Fixed,,Offline,CARICOOS,Yf,CARICOOS ,Academia/Non-Profit,CARICOOS,NDBC / CARICOOS,"wind_speed (15 m), wind_speed_of_gust (15 m), wind_from_direction (15 m), air_temperature (15 m), air_pressure (15 m), relative_humidity (15 m)","Issues with the data logger. Due to manufacture changes, new equipment needs to be installed and make changes to the setup. CARICOOS is actively working to acquire the equipment and install it.",CARICOOS.xlsx,11/2012 - present,Patricia Chardón-Maldonado (patricia.chardon@upr.edu),
